CompanyName,TotalScore,EnvironmentalScore,SocialScore,GovernanceScore
Apple Inc. (AAPL),18.8,2.0,8.4,8.4
African Rainbow Minerals Limited (EB9.F),30.7,,,
Jadwa REIT Al Haramain Fund (4332.SR),,,,
V-Mart Retail Limited (VMART.BO),,,,
ACADIA Pharmaceuticals Inc. (ACAD),30.6,,,
Aurora Cannabis Inc. (ACB),,,,
Alpha Cognition Inc. Common Stock (ACOG),,,,
"Analog Devices, Inc. (ADI)",16.7,7.4,4.5,4.7
Advanced Flower Capital Inc. (AFCG),26.3,,,
American Superconductor Corporation (AMSC),36.5,,,
Atmos Energy Corporation (ATO),31.2,13.7,13.2,4.3
"Aurora Innovation, Inc. (AUR)",26.1,,,
